hour,day_of_week,temperature,humidity,occupancy,building_type,is_holiday,previous_usage,energy_usage
6,3,33.02168971820851,49.92011218315949,192,Hostel,0,13.391823687966726,88.60417123789982
1,6,24.520317987746427,77.09738135971695,151,Library,0,18.640908856857763,82.86365949474397
2,6,37.961828319229724,30.91849500496247,235,Lab,0,19.691040682286335,99.72573494501707
16,4,33.00701455115033,49.10872843069717,293,Admin,1,13.403087833538441,84.92023714979274
4,2,25.713214655178547,34.522832464810705,207,Admin,0,10.292181927205128,72.95507583573452
16,0,24.123368089440433,56.75047844838705,36,Hostel,0,13.192955530364943,44.79352607173569
23,0,33.60519631922462,66.26487432667008,77,Hostel,1,15.785343493661486,81.34841260834844
16,1,28.868846009786367,52.581750916113464,171,Admin,0,11.26955508708347,81.9774809824486
16,4,23.746175756561364,47.883543870253625,44,Academic,0,15.147685837693356,52.855363883585646
1,5,27.259455102640583,34.60570679092501,83,Library,1,20.581661077956106,38.63395517405128
1,2,25.964015910593194,80.22002366734884,92,Academic,0,15.649399046995352,56.82435024174515
21,3,23.87970440655981,54.66382204309186,153,Lab,0,23.481394428265784,87.41933830037198
22,1,33.072931266307336,48.21785473614126,105,Academic,1,20.384355692107892,81.37360803144975
4,2,31.908620941571566,78.43798620321715,208,Academic,0,20.412300564340434,80.21361422515187
0,4,32.192707387796304,49.71931966942474,203,Lab,0,27.28391740009859,103.77904507499446
0,2,32.12335196659757,41.34456508850242,247,Library,0,16.39980602157328,65.58954434389955
18,6,23.419831276462013,44.345791670850865,225,Admin,0,15.445259488548084,74.7722568729681
1,0,24.981563641015015,42.141400666246504,47,Academic,1,21.470895683409324,45.016403037787775
20,6,35.29328761468831,39.00957749928234,245,Library,0,12.442899214760239,86.69146479857237
11,0,28.540060612194992,44.598451858419864,30,Lab,0,18.205731243570753,60.71961882254238
5,1,20.647646531478486,91.22425950568564,182,Library,0,16.453263419970458,62.34609693803011
22,4,29.08472163797873,37.752655520387904,256,Academic,0,24.398428491418862,104.88656646943788
3,4,31.273956308340665,32.61772064030032,125,Admin,0,8.242881262441038,45.350887225553095
22,2,30.620207186851044,59.17044201368403,218,Lab,0,22.850152347017378,115.8583234038048
10,1,23.310651984191804,53.8605043140304,244,Lab,1,27.06456666578495,109.85884678734193
23,4,37.43360779628777,64.90061434856243,138,Academic,1,21.448979772608812,79.3198486551941
16,5,20.497027064456237,46.688735196640835,226,Library,0,19.3668540524736,82.2799639020233
5,5,28.554482150817062,41.972299190434185,256,Admin,0,16.923330789697033,86.32078822478576
23,6,36.682764263830414,80.10579651223969,254,Lab,0,26.70825438482285,109.89362193680296
4,0,30.958285419677225,30.824656231667944,69,Academic,1,17.219897435614424,70.25854895103828
19,2,32.18109784525677,60.408983488944635,65,Academic,0,17.311650486553514,64.11911912290131
1,3,22.734179254149325,65.35454392137902,1,Hostel,0,12.369117479970184,23.473903548767357
5,0,29.735232287984353,67.3255318377223,268,Hostel,1,17.09362565370628,86.8489131121308
21,1,27.816986686525265,50.44928097794119,128,Library,0,14.49974879569588,59.16646771048928
10,4,22.349779154178176,36.27667165314374,145,Academic,0,22.884731940061833,82.37148036313584
15,0,32.32535744737481,77.49271044089167,112,Library,0,11.425498134824347,47.951354526521925
15,3,23.902566306746653,48.316836199494325,287,Library,1,16.861482149562914,100.41477028545174
0,3,24.495376839157366,77.94996971621899,95,Admin,0,9.746724111971293,54.499944063169856
8,5,30.16289661042424,60.521109198566165,266,Hostel,1,15.566327381195979,89.7908883281394
5,1,27.283772771774924,47.741139823411324,7,Library,1,15.231177204456262,29.58730094820215
15,0,28.846440118280064,60.90164570925097,219,Admin,0,14.392592391493903,96.00996891901485
2,2,26.977501706150818,72.2620293558688,212,Admin,0,10.695258514801955,63.44300089116598
19,0,35.06530421752021,56.231323757358155,101,Hostel,0,13.922080548326385,63.94896026770982
3,5,23.37484676380692,43.93626336163823,165,Hostel,0,16.42424468656315,71.69465012402193
18,6,25.675956098969937,28.18670508783513,261,Academic,0,19.694325023394192,95.22164806102565
2,3,30.405857787896135,48.63614690654082,1,Library,0,16.174931585785583,27.463921471311714
18,1,23.060410831794904,67.11460871328237,201,Admin,0,14.281425274622102,78.66662512839486
19,1,22.83888308802062,39.84499224645342,182,Academic,1,19.769741675667152,89.79403384716755
6,2,28.688719470015688,65.21743096894245,258,Library,0,11.2455654136337,79.31119680025625
19,1,32.33676689459439,55.422986135803534,227,Library,0,14.286878925788807,96.12326987112812
8,5,32.98938907897127,66.18243006365236,199,Academic,0,14.229648600782436,79.10725214142319
0,5,28.45869937993641,20.0,25,Admin,0,11.25017435180084,26.362285204482706
7,5,24.639336707513365,33.6949730085179,101,Academic,0,21.413937664974505,59.32800746160213
6,1,29.37831598817129,48.06102500740609,135,Library,0,16.37379500888501,70.50094728171223
17,1,30.83069154356185,82.9940961440225,196,Academic,0,24.183971366660103,112.79404092528566
7,5,29.30930329645137,43.68597758062805,29,Academic,0,23.8480047859525,59.45184433178917
0,1,34.17084929395688,53.09825040041995,298,Library,1,16.770206662374157,90.66882467162445
10,1,22.929193673725162,87.26096032744076,132,Hostel,0,6.82345702454772,68.1717570896773
17,3,24.515119911782186,61.4295565414189,255,Admin,1,14.014034799567117,85.16619765900016
22,0,33.476745971993616,67.89445141544405,19,Library,0,13.684883270397393,69.44899322974226
9,4,20.63490084742368,45.36512923750858,20,Hostel,0,16.64368517658889,42.58395627392966
2,1,25.303071364592498,72.6848011095195,40,Academic,0,20.937950980844402,46.48215210032312
6,4,24.342298526368193,74.97092403272589,151,Hostel,0,15.968250945421051,77.53968960991936
15,6,20.178975493265156,62.52397371583848,1,Library,0,17.5050081294454,43.149257649184634
15,4,27.064255976795433,53.71034587563366,43,Library,0,23.170542748248295,68.77465958231298
19,3,31.731469299442267,63.39140881848374,40,Academic,0,21.563549729928834,66.62393665695853
16,1,28.781639577605514,30.614712181020263,262,Library,0,12.159580651656142,76.54357832787454
1,5,31.998018926510387,71.32950851487332,293,Lab,0,29.21393733015103,123.95252542091652
0,4,33.959779838214864,42.26317445199135,172,Hostel,0,12.708671127474206,72.89134230439842
15,1,26.071841195272402,50.82102709729647,8,Lab,0,30.035579060972527,73.1821591264494
11,2,41.23423011494365,74.76332305848811,52,Lab,0,30.628655160192764,99.24798754451427
4,6,26.272922879680834,71.46343375640006,283,Hostel,0,15.865536496560331,100.54530583890664
4,5,26.937344870781544,30.683084232306275,127,Library,0,12.167099742104856,54.38110358361097
22,2,24.461897315656113,40.79007216529397,18,Hostel,1,12.619043385789148,47.048683543165424
8,2,30.72694740462337,64.60170026187718,131,Academic,0,24.02225455095074,76.98722036443775
8,4,26.547482905115125,28.908888013808284,12,Lab,0,31.997007762122927,73.85559488933889
2,2,27.60553889042502,76.2901934834127,219,Lab,0,26.185778403481358,108.5805417504071
18,3,26.973934968870186,56.76887615204978,266,Library,0,15.175601753523877,86.3448548182435
15,3,26.86047726386563,76.1937636068778,244,Hostel,0,10.459617675091643,95.39291264033879
15,4,28.791430146992877,43.8266971187785,257,Admin,0,8.498851985685537,107.00306725839195
2,1,25.748882234816843,45.157425286111945,139,Library,0,16.698346413467107,71.5479169904939
19,0,25.98352209041454,70.51229496582808,246,Library,0,18.10224445681683,80.39923448247477
23,1,33.36425745310496,50.5544098645359,231,Library,0,11.537935046605693,85.80377230739589
21,1,26.53238768059294,36.38617772774272,55,Hostel,0,16.488010818457724,45.03627432980875
23,1,29.917762018535623,63.42207966807635,87,Library,0,20.116831999170934,71.4748121780174
0,1,23.552541297557767,31.114408317075917,253,Academic,0,21.891770623622307,100.47431156756177
23,5,25.776549864235637,76.63201394063191,51,Academic,1,24.958585499882453,67.35125038963159
19,0,21.837197187546597,57.76312663976714,246,Lab,0,27.06640947443879,135.47412088646612
10,5,37.27216716680914,41.655152746807886,251,Lab,0,27.096100308676892,87.38408091166444
16,2,34.877298388340265,72.17782085472348,124,Hostel,0,15.03878851430866,70.5580883379957
7,6,30.977294966393433,72.44178087728307,200,Admin,0,16.078269202387652,87.9474324983458
3,1,38.755513601449145,55.05598613937059,131,Lab,0,27.612918347749485,79.05722068983833
5,6,31.851430256915627,89.13113085539334,176,Lab,1,24.410738793869,86.90632904502768
7,3,27.140121281755892,88.78517193972138,51,Lab,0,27.270295093776568,84.1888749909937
19,4,29.862598335458355,59.85022984455022,33,Lab,0,27.300342328918696,96.27830177079238
2,4,34.803931777395704,70.98109152691136,21,Library,0,15.362998097529383,66.24411102686699
15,5,23.59841912496016,74.63207836675247,140,Lab,0,29.067749770581564,95.17852156667033
2,5,22.135911063667194,37.97614821739394,270,Hostel,0,14.27445768884017,100.36339569417723
17,3,30.030395833149687,59.300743968340285,167,Library,0,18.115861057041187,83.32519402625557
13,1,25.065751332256312,44.772461836653164,37,Library,0,17.529280833044457,61.35787390095881
17,6,16.70049316270762,42.65647664463508,245,Hostel,1,11.822678985076248,82.40335345638789
1,6,21.785333265447157,56.82410221854196,234,Admin,0,9.061349705045954,61.76318965876283
21,0,26.442878253232273,57.95111890678904,54,Lab,0,23.85420951870893,91.82755785250457
2,2,28.24094377373951,30.819855946125998,119,Academic,0,19.75652572577963,84.61421268470474
15,4,28.389845496916493,60.15572911380575,65,Admin,0,16.774581110663522,55.98649758827229
8,2,38.02598170117723,51.23578308487972,165,Lab,0,25.857764724076,106.68430200716624
3,0,26.96187371649453,75.96878371887648,209,Academic,1,21.121263961764374,89.21726249204767
0,5,29.390627447680522,72.4406589040895,74,Library,0,18.619047325641134,80.59892310006943
3,6,19.87053986312752,42.159872710807136,133,Library,0,14.923440800348953,45.73321593959275
0,4,27.84432230842362,74.69092556707821,264,Library,0,14.755983304258763,88.97349194191465
13,2,29.670994715858832,63.03933013665214,173,Lab,0,29.15473735856928,90.56476747241794
20,5,21.123702595094052,51.72578520777702,242,Hostel,0,15.704510800284122,77.5995945827881
15,0,23.330040201815216,47.31731521740507,88,Library,0,14.308033445618907,57.13386911730199
19,2,30.44584316918435,37.78530401701846,249,Library,0,14.762963185836917,89.8524313776511
23,6,25.268368678440442,36.73003239165473,30,Library,0,16.25595011553184,43.024329579583394
7,1,27.48729114245013,27.593065906388006,276,Lab,0,26.98886256683506,123.56071316789249
6,5,30.7038875947949,55.31322594282199,37,Academic,0,23.73193313909282,73.72787708542243
2,0,38.184360858979076,24.099175745402036,137,Admin,0,13.595985033723872,67.78788921231214
16,2,26.89107399460804,42.00226133486669,75,Library,0,13.049480450483046,36.07414917166566
